"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/GardenPlanner/GardenPlanner.js", "JavaScript", 0, 45, 0, 0, 0, 1, 5, 51
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/GardenPlanner/GardenPlanner.scss", "SCSS", 0, 0, 0, 21, 0, 0, 5, 26
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/GardenPlannerCrop.js/GardenPlanner.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/GardenPlannerCrop.js/GardenPlannerCrop.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/Landing.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/Registration/Login.js", "JavaScript", 0, 74, 0, 0, 0, 0, 11, 85
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/Registration/NameLocation.js", "JavaScript", 0, 74, 0, 0, 0, 0, 7, 81
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/Registration/Registration.js", "JavaScript", 0, 85, 0, 0, 0, 0, 12, 97
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/Registration/Registration.scss", "SCSS", 0, 0, 0, 51, 0, 0, 10, 61
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/Support.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/TaskList/TaskList.js", "JavaScript", 0, 68, 0, 0, 0, 0, 8, 76
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/TaskList/TaskList.scss", "SCSS", 0, 0, 0, 27, 0, 0, 6, 33
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/pages/UpdateProfile.js", "JavaScript", 0, 97, 0, 0, 0, 0, 16, 113
"Total", "-", 67, 1587, 38, 688, 17, 55, 386, 2838
